time,detectable sentinels mean
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.01
28.0,0.01
29.0,0.01
30.0,0.01
31.0,0.01
32.0,0.01
33.0,0.01
34.0,0.01
35.0,0.01
36.0,0.01
37.0,0.01
38.0,0.01
39.0,0.01
40.0,0.01
41.0,0.01
42.0,0.01
43.0,0.01
44.0,0.01
45.0,0.01
46.0,0.01
47.0,0.01
48.0,0.01
49.0,0.01
50.0,0.01
51.0,0.01
52.0,0.01
53.0,0.01
54.0,0.01
55.0,0.01
56.0,0.01
57.0,0.01
58.0,0.01
59.0,0.01
60.0,0.01
61.0,0.01
62.0,0.01
63.0,0.01
64.0,0.02
65.0,0.02
66.0,0.02
67.0,0.02
68.0,0.02
69.0,0.02
70.0,0.02
71.0,0.02
72.0,0.02
73.0,0.02
74.0,0.02
75.0,0.03
76.0,0.03
77.0,0.03
78.0,0.03
79.0,0.03
80.0,0.03
81.0,0.03
82.0,0.03
83.0,0.03
84.0,0.03
85.0,0.03
86.0,0.03
87.0,0.03
88.0,0.03
89.0,0.03
90.0,0.03
91.0,0.03
92.0,0.03
93.0,0.03
94.0,0.03
95.0,0.03
96.0,0.05
97.0,0.05
98.0,0.05
99.0,0.05
100.0,0.05
101.0,0.06
102.0,0.07
103.0,0.07
104.0,0.07
105.0,0.07
106.0,0.08
107.0,0.08
108.0,0.08
109.0,0.08
110.0,0.09
111.0,0.09
112.0,0.1
113.0,0.1
114.0,0.1
115.0,0.1
116.0,0.1
117.0,0.1
118.0,0.1
119.0,0.1
120.0,0.1
121.0,0.1
122.0,0.1
123.0,0.12
124.0,0.12
125.0,0.12
126.0,0.12
127.0,0.13
128.0,0.13
129.0,0.13
130.0,0.13
131.0,0.13
132.0,0.13
133.0,0.13
134.0,0.13
135.0,0.13
136.0,0.13
137.0,0.13
138.0,0.13
139.0,0.13
140.0,0.13
141.0,0.13
142.0,0.13
143.0,0.14
144.0,0.14
145.0,0.14
146.0,0.14
147.0,0.14
148.0,0.14
149.0,0.16
150.0,0.17
151.0,0.17
152.0,0.17
153.0,0.17
154.0,0.17
155.0,0.18
156.0,0.18
157.0,0.18
158.0,0.18
159.0,0.18
160.0,0.18
161.0,0.18
162.0,0.19
163.0,0.2
164.0,0.21
165.0,0.22
166.0,0.22
167.0,0.22
168.0,0.22
169.0,0.22
170.0,0.23
171.0,0.23
172.0,0.24
173.0,0.24
174.0,0.25
175.0,0.25
176.0,0.27
177.0,0.27
178.0,0.27
